K_Nu,K_E,K_Rho,K_incl,F,K_lambda_r,A2,А2_surface,Nu_host medium,E,Rho,Vp,Vs,Z
1,1,0.5,1,1.5000000000000002,0.6666666666666665,6.067030432615455e-13,5.612222586789372e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,1,0.5,1,1.6,0.625,6.210371427455402e-13,5.663775590226667e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,1,0.5,1,1.7000000000000002,0.588235294117647,6.445129137670202e-13,5.781313822068384e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,1,0.5,1,1.8000000000000005,0.5555555555555555,6.60837953531614e-13,5.826448694588661e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,1,0.5,1,1.9,0.5263157894736842,6.670280977834744e-13,5.786635368789419e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,1,0.5,1,2.0,0.5,6.736406901680855e-13,5.762715220203444e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,1,0.5,1,2.1,0.4761904761904761,6.854896288218608e-13,5.799252134615868e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,1,0.5,1,2.2,0.4545454545454545,6.990327708391846e-13,5.866325538912849e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,1,0.5,1,2.3000000000000003,0.4347826086956521,7.081919970184812e-13,5.911514909222335e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,1,0.5,1,2.4000000000000004,0.4166666666666666,7.093681784329693e-13,5.9022621829712e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,1,0.5,1,2.5000000000000004,0.3999999999999999,7.02691555737067e-13,5.83585611475687e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,1,0.5,1,2.6,0.3846153846153846,6.905092953506535e-13,5.73057121788018e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,1,0.5,1,2.7,0.3703703703703703,6.758053779795751e-13,5.608384761384312e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,1,0.5,1,2.8000000000000003,0.3571428571428571,6.610278004107684e-13,5.488395163762377e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,1,0.5,1,2.9000000000000004,0.3448275862068965,6.478386426471905e-13,5.383844103571244e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,1,0.5,1,3.0000000000000004,0.3333333333333332,6.37198192290653e-13,5.302603806730728e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,1,0.5,1,3.1,0.3225806451612903,6.295460259701899e-13,5.248498779864982e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,1,0.5,1,3.2,0.3125,6.249651076705968e-13,5.222542890168908e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,1,0.5,1,3.3000000000000003,0.303030303030303,6.23302768970782e-13,5.223855022713066e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,1,0.5,1,3.4000000000000004,0.2941176470588235,6.245058149280096e-13,5.252597012863869e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,1,0.5,1,3.5000000000000004,0.2857142857142857,6.276700001748684e-13,5.301179451058416e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,1,0.5,1,3.6,0.2777777777777778,6.325732524755565e-13,5.368193703168651e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,1,0.5,1,3.7,0.2702702702702703,6.387193125258594e-13,5.449634141986732e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,1,0.5,1,3.8,0.2631578947368421,6.456027662475144e-13,5.541267084342048e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
