K_E,F,K_lambda_r,A2,А2_surface,Nu_host medium,E,Rho,Vp,Vs,Z
1.09111,1.4,0.7142857142857142,5.649733078370908e-13,5.455150937764665e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,1.5000000000000002,0.6666666666666665,5.548449954311603e-13,5.423800446375059e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,1.6,0.625,5.368914165283265e-13,5.304906325311476e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,1.7000000000000002,0.588235294117647,5.31377241358624e-13,5.284950269631126e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,1.8000000000000005,0.5555555555555555,5.300954753729583e-13,5.29498543872936e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,1.9,0.5263157894736842,5.26034666698895e-13,5.276091619809215e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,2.0,0.5,5.210100264156178e-13,5.25056050820652e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,2.1,0.4761904761904761,5.16816225151037e-13,5.236645823118479e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,2.2,0.4545454545454545,5.130158432569703e-13,5.227134049251113e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,2.3000000000000003,0.4347826086956521,5.091515646880197e-13,5.213767264042748e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,2.4000000000000004,0.4166666666666666,5.058258341019247e-13,5.199958398700599e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,2.5000000000000004,0.3999999999999999,5.041842232948373e-13,5.195636983223823e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,2.6,0.3846153846153846,5.044506978808703e-13,5.205289303449158e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,2.7,0.3703703703703703,5.065747990714724e-13,5.228837873260189e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,2.8000000000000003,0.3571428571428571,5.098557314790581e-13,5.260456529680643e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,2.9000000000000004,0.3448275862068965,5.134231840534474e-13,5.292403484335099e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,3.0000000000000004,0.3333333333333332,5.165250280935846e-13,5.317878714401981e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,3.1,0.3225806451612903,5.186882997029867e-13,5.332686972456154e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,3.2,0.3125,5.197505983438549e-13,5.335612130269814e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,3.3000000000000003,0.303030303030303,5.198000605389072e-13,5.327859773242751e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,3.4000000000000004,0.2941176470588235,5.190847347768595e-13,5.312199590716075e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,3.5000000000000004,0.2857142857142857,5.178753899079762e-13,5.29148823851519e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,3.6,0.2777777777777778,5.164632583564444e-13,5.268863757951386e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,3.7,0.2702702702702703,5.150732558452643e-13,5.246720248714911e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,3.8,0.2631578947368421,5.138637573662156e-13,5.226753154439969e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,3.9,0.2564102564102564,5.129292823494715e-13,5.209990353756648e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,4.0,0.25,5.123116683562596e-13,5.196907334806624e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,4.1,0.2439024390243902,5.12013571688596e-13,5.187565697548669e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,4.2,0.238095238095238,5.120112631746717e-13,5.181744424287595e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,4.3,0.2325581395348837,5.122653189819371e-13,5.179049877471746e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,4.4,0.2272727272727273,5.127290420669348e-13,5.17900238571073e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,4.5,0.2222222222222222,5.133535465646337e-13,5.181091698991612e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,4.6,0.2173913043478261,5.140928691675867e-13,5.184827539895313e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,4.7,0.2127659574468085,5.149055981924259e-13,5.189760071648056e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,4.8,0.2083333333333333,5.157563010397222e-13,5.195495617927337e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,4.9,0.2040816326530611,5.16615943821581e-13,5.201702549130147e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,5.0,0.2,5.175611842142904e-13,5.209300758598098e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,5.1,0.196078431372549,5.183681997067654e-13,5.215623190274192e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,5.2,0.1923076923076923,5.191327550638269e-13,5.221779149728639e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,5.3,0.1886792452830188,5.198473222580731e-13,5.227656462364686e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,5.4,0.1851851851851851,5.205078998558498e-13,5.233180856577092e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,5.5,0.1818181818181818,5.211132815770222e-13,5.2383089628854e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,5.6,0.1785714285714285,5.216643953965521e-13,5.243021864111183e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,5.7,0.175438596491228,5.221637279368826e-13,5.247319373413274e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,5.8,0.1724137931034483,5.226148385875979e-13,5.251215112267373e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,5.9,0.1694915254237288,5.230224766658328e-13,5.254737238871411e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
